Chapoutier Saint-Joseph Deschants (1992),rouge,M. Chapoutier,,1992,Saint-Joseph,Syrah,,"$169,00"
Chapoutier Saint-Joseph Deschants (1993),rouge,M. Chapoutier,,1993,Saint-Joseph,Syrah,,"$26,00"
Chapoutier Saint-Joseph Deschants (1993),rouge,M. Chapoutier,,1993,Saint-Joseph,Syrah,,"$26,00"
Chateau Calon (2011),rouge,Chateau Calon,,2011,Montagne-Saint-emilion,"Merlot, Cabernet Sauvignon",,
Chateau Flore (2001),rouge,Chateau Flore,,2001,Bordeaux,"Merlot, Cabernet Sauvignon",,
Chateau Pavie (1925),rouge,Chateau Pavie,Grand Cru,1925,Saint-emilion,"Merlot, Cabernet Franc",,"$656,00"
Chateauneuf-du-Pape Les Olivets (1976),rouge,Roger Sabon & Fils,,1976,Chateauneuf-du-Pape,"Grenache, Syrah, Mourvedre",,
Les Allees de Lanezac (2011),rouge,Maison Johanes Boubee,,2011,Margaux,"Cabernet Sauvignon, Merlot",,
Mas Laval Grande Cuvee (2010),rouge,Mas Laval,,2010,Languedoc,"Syrah, Grenache, Mourvedre",,
Chateau Le Bourdil (2009),rouge,,,2009,Lussac Saint-emilion,"Merlot, Cabernet Franc",,
Clos d'Antonin Morgon Cuvee Prestige (1995),rouge,Serge Gay,,1995,Morgon,Gamay,,
Santenay (1980),rouge,Mestre Pere & Fils,,1980,Santenay,Pinot Noir,,
Chateau Haut-Musset (1985),rouge,J. Nicoletti,,1985,Montagne-Saint-emilion,"Merlot, Cabernet Franc",,
Clos d'Antonin Morgon (1997),rouge,Serge Gay,,1997,Morgon,Gamay,,
Domaine du Grapillon d'Or Gigondas (1986),rouge,Bernard Chauvet,,1986,Gigondas,"Grenache, Syrah",,
Cote de Brouilly (1997),rouge,Gillet Freres,,1997,Cote de Brouilly,Gamay,,
Nuits-Saint-Georges (1972),rouge,,,1972,Nuits-Saint-Georges,Pinot Noir,,
Gevrey-Chambertin (1986),rouge,Henri Perrot-Minot,,1986,Gevrey-Chambertin,Pinot Noir,,
Cote de Nuits-Villages (1993),rouge,Domaine de la Feuillarde,,1993,Cote de Nuits,Pinot Noir,,
Savigny les Beaune (1998),rouge,Domaine de la Galopiere,,1998,Savigny les Beaune,Pinot Noir,,
Domaine des Remizieres Cuvee Christophe (2014),rouge,Domaine des Remizieres,,2014,Crozes-Hermitage,Syrah,,
Montagne Saint-emilion (2001),rouge,Bernard Taillan,,2001,Montagne-Saint-emilion,"Merlot, Cabernet Franc",,
Grand Vin Clos Saint-emilion (1923),rouge,,,1923,Saint-emilion,"Merlot, Cabernet Franc",,
Chateau La Fontaine (1981),rouge,Savour Club,,1981,Fronsac,"Merlot, Cabernet Franc",,
Chateau La Tour de Mons (2007),rouge,Chateau La Tour de Mons,Cru Bourgeois,2007,Margaux,"Cabernet Sauvignon, Merlot",,
Chateau Le Bourdil (2006),rouge,,,2006,Lussac Saint-emilion,"Merlot, Cabernet Franc",,
Chateau Saint-Christoly (2005),rouge,GFA Heraud et Filles,Cru Bourgeois,2005,Medoc,"Cabernet Sauvignon, Merlot",,
Vieux Chateau Ferron (1990),rouge,Garzaro,,1990,Pomerol,"Merlot, Cabernet Franc",,
Baron de Lestac Bordeaux (2006),rouge,Baron de Lestac,,2006,Bordeaux,"Merlot, Cabernet Sauvignon",,
Chateau Lestrille (1981),rouge,J.L. Roumage,,1981,Bordeaux,"Merlot, Cabernet Franc",,
Chateau Lestrille Capmartin (1985),rouge,J.L. Roumage,,1985,Bordeaux,"Merlot, Cabernet Franc",,
Chateau Lestrille (1980),rouge,J.L. Roumage,,1980,Bordeaux,"Merlot, Cabernet Franc",,
Chateau Lestrille (1985),rouge,J.L. Roumage,,1985,Bordeaux,"Merlot, Cabernet Franc",,
Chateau Lestrille (1981),rouge,J.L. Roumage,,1981,Bordeaux,"Merlot, Cabernet Franc",,
Chateau La Croix de Chouteau (1975),rouge,Raymond Coudroy,,1975,Lussac-Saint-emilion,"Merlot, Cabernet Franc",,
Chateau La Croix de Chouteau (1978),rouge,Raymond Coudroy,,1978,Lussac-Saint-emilion,"Merlot, Cabernet Franc",,
